Epoch #187: episode_reward: 3551.703 ± 71.249,                               episode_length: 1000.000 ± 0.000
Epoch #188: episode_reward: 3265.638 ± 109.156,                               episode_length: 1000.000 ± 0.000
Epoch #189: episode_reward: 4335.756 ± 158.244,                               episode_length: 1000.000 ± 0.000
Epoch #190: episode_reward: 3679.126 ± 71.944,                               episode_length: 1000.000 ± 0.000
Epoch #191: episode_reward: 3347.738 ± 124.138,                               episode_length: 1000.000 ± 0.000
Epoch #192: episode_reward: 2613.931 ± 75.879,                               episode_length: 1000.000 ± 0.000
Epoch #193: episode_reward: 3457.983 ± 59.432,                               episode_length: 1000.000 ± 0.000
Epoch #194: episode_reward: 3120.195 ± 134.172,                               episode_length: 1000.000 ± 0.000
Epoch #195: episode_reward: 3144.813 ± 197.191,                               episode_length: 1000.000 ± 0.000
Epoch #196: episode_reward: 3611.711 ± 89.353,                               episode_length: 1000.000 ± 0.000
Epoch #197: episode_reward: 4924.215 ± 83.554,                               episode_length: 1000.000 ± 0.000
Epoch #198: episode_reward: 4159.070 ± 89.695,                               episode_length: 1000.000 ± 0.000
Epoch #199: episode_reward: 2291.255 ± 83.061,                               episode_length: 1000.000 ± 0.000
Epoch #200: episode_reward: 3305.761 ± 86.846,                               episode_length: 1000.000 ± 0.000
Epoch #201: episode_reward: 3947.006 ± 132.842,                               episode_length: 1000.000 ± 0.000
Epoch #202: episode_reward: 4693.493 ± 67.000,                               episode_length: 1000.000 ± 0.000
Epoch #203: episode_reward: 4513.523 ± 124.212,                               episode_length: 1000.000 ± 0.000
Epoch #204: episode_reward: 4562.508 ± 95.369,                               episode_length: 1000.000 ± 0.000
Epoch #205: episode_reward: 4304.746 ± 92.696,                               episode_length: 1000.000 ± 0.000
Epoch #206: episode_reward: 3802.321 ± 57.087,                               episode_length: 1000.000 ± 0.000
Epoch #207: episode_reward: 3502.551 ± 98.371,                               episode_length: 1000.000 ± 0.000
Epoch #208: episode_reward: 3926.575 ± 55.831,                               episode_length: 1000.000 ± 0.000
