Epoch #240: episode_reward: 2847.424 ± 30.803,                               episode_length: 1000.000 ± 0.000
Epoch #241: episode_reward: 2589.902 ± 46.708,                               episode_length: 1000.000 ± 0.000
Epoch #242: episode_reward: 2820.209 ± 44.650,                               episode_length: 1000.000 ± 0.000
Epoch #243: episode_reward: 2668.690 ± 26.122,                               episode_length: 1000.000 ± 0.000
Epoch #244: episode_reward: 2952.235 ± 31.887,                               episode_length: 1000.000 ± 0.000
Epoch #245: episode_reward: 2820.407 ± 26.676,                               episode_length: 1000.000 ± 0.000
Epoch #246: episode_reward: 2827.001 ± 29.939,                               episode_length: 1000.000 ± 0.000
Epoch #247: episode_reward: 2653.886 ± 44.622,                               episode_length: 1000.000 ± 0.000
Epoch #248: episode_reward: 2432.724 ± 37.628,                               episode_length: 1000.000 ± 0.000
Epoch #249: episode_reward: 2466.424 ± 56.610,                               episode_length: 1000.000 ± 0.000
Epoch #250: episode_reward: 2483.365 ± 19.239,                               episode_length: 1000.000 ± 0.000
Epoch #251: episode_reward: 2630.694 ± 29.565,                               episode_length: 1000.000 ± 0.000
Epoch #252: episode_reward: 2667.499 ± 19.840,                               episode_length: 1000.000 ± 0.000
Epoch #253: episode_reward: 2812.451 ± 36.799,                               episode_length: 1000.000 ± 0.000
Epoch #254: episode_reward: 2563.250 ± 32.093,                               episode_length: 1000.000 ± 0.000
Epoch #255: episode_reward: 2591.326 ± 32.956,                               episode_length: 1000.000 ± 0.000
Epoch #256: episode_reward: 2725.053 ± 34.919,                               episode_length: 1000.000 ± 0.000
Epoch #257: episode_reward: 2784.778 ± 31.456,                               episode_length: 1000.000 ± 0.000
Epoch #258: episode_reward: 2549.944 ± 14.634,                               episode_length: 1000.000 ± 0.000
Epoch #259: episode_reward: 2755.627 ± 51.350,                               episode_length: 1000.000 ± 0.000
Epoch #260: episode_reward: 2573.873 ± 27.715,                               episode_length: 1000.000 ± 0.000
Epoch #261: episode_reward: 2406.286 ± 23.857,                               episode_length: 1000.000 ± 0.000
Epoch #262: episode_reward: 2752.826 ± 22.907,                               episode_length: 1000.000 ± 0.000
Epoch #263: episode_reward: 2730.721 ± 27.752,                               episode_length: 1000.000 ± 0.000
Epoch #264: episode_reward: 2572.901 ± 24.727,                               episode_length: 1000.000 ± 0.000
Epoch #265: episode_reward: 2609.592 ± 32.818,                               episode_length: 1000.000 ± 0.000
Epoch #266: episode_reward: 2431.175 ± 45.911,                               episode_length: 1000.000 ± 0.000
Epoch #267: episode_reward: 2707.985 ± 14.151,                               episode_length: 1000.000 ± 0.000
Epoch #268: episode_reward: 2527.504 ± 29.965,                               episode_length: 1000.000 ± 0.000
Epoch #269: episode_reward: 2402.647 ± 14.946,                               episode_length: 1000.000 ± 0.000
Epoch #270: episode_reward: 2410.814 ± 23.506,                               episode_length: 1000.000 ± 0.000
Epoch #271: episode_reward: 2417.921 ± 32.281,                               episode_length: 1000.000 ± 0.000
Epoch #272: episode_reward: 2413.950 ± 28.789,                               episode_length: 1000.000 ± 0.000
Epoch #273: episode_reward: 2470.809 ± 34.040,                               episode_length: 1000.000 ± 0.000
Epoch #274: episode_reward: 2521.173 ± 21.077,                               episode_length: 1000.000 ± 0.000
Epoch #275: episode_reward: 2622.358 ± 19.658,                               episode_length: 1000.000 ± 0.000
Epoch #276: episode_reward: 2563.367 ± 22.545,                               episode_length: 1000.000 ± 0.000
Epoch #277: episode_reward: 2380.969 ± 28.916,                               episode_length: 1000.000 ± 0.000
Epoch #278: episode_reward: 2455.074 ± 27.582,                               episode_length: 1000.000 ± 0.000
Epoch #279: episode_reward: 2459.484 ± 30.306,                               episode_length: 1000.000 ± 0.000
Epoch #280: episode_reward: 2591.586 ± 32.993,                               episode_length: 1000.000 ± 0.000
Epoch #281: episode_reward: 2672.085 ± 18.075,                               episode_length: 1000.000 ± 0.000
Epoch #282: episode_reward: 2537.403 ± 20.211,                               episode_length: 1000.000 ± 0.000
Epoch #283: episode_reward: 2713.645 ± 36.119,                               episode_length: 1000.000 ± 0.000
Epoch #284: episode_reward: 2706.190 ± 26.752,                               episode_length: 1000.000 ± 0.000
Epoch #285: episode_reward: 2614.536 ± 20.406,                               episode_length: 1000.000 ± 0.000
