Start training dynamics
loss/model_eval_mse_loss: 0.001883
loss/model_eval_mse_loss: 0.000583
loss/model_eval_mse_loss: 0.000766
loss/model_eval_mse_loss: 0.000423
loss/model_eval_mse_loss: 0.000195
loss/model_eval_mse_loss: 0.000077
loss/model_eval_mse_loss: 0.000094
loss/model_eval_mse_loss: 0.000019
loss/model_eval_mse_loss: 0.000025
loss/model_eval_mse_loss: 0.000021
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000033
loss/model_eval_mse_loss: 0.000000
loss/model_eval_mse_loss: 0.000009
loss/model_eval_mse_loss: 0.000032
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000007
loss/model_eval_mse_loss: 0.000015
loss/model_eval_mse_loss: 0.000016
loss/model_eval_mse_loss: 0.000017
loss/model_eval_mse_loss: 0.000047
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000024
loss/model_eval_mse_loss: 0.000003
loss/model_eval_mse_loss: 0.000063
loss/model_eval_mse_loss: 0.000004
loss/model_eval_mse_loss: 0.000013
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000033
loss/model_eval_mse_loss: 0.000030
loss/model_eval_mse_loss: 0.000013
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000009
loss/model_eval_mse_loss: 0.000015
loss/model_eval_mse_loss: 0.000024
loss/model_eval_mse_loss: 0.000004
total time: 50.824s
Epoch #85: episode_reward: 1.414 ± 3.928,                                episode_length: 6.000 ± 0.000
Epoch #86: episode_reward: 1.344 ± 4.366,                                episode_length: 6.000 ± 0.000
Epoch #87: episode_reward: 1.160 ± 4.089,                                episode_length: 6.000 ± 0.000
Epoch #88: episode_reward: 0.604 ± 4.344,                                episode_length: 6.000 ± 0.000
Epoch #89: episode_reward: 0.667 ± 4.640,                                episode_length: 6.000 ± 0.000
Epoch #90: episode_reward: 0.794 ± 4.579,                                episode_length: 6.000 ± 0.000
Epoch #91: episode_reward: -0.151 ± 4.724,                                episode_length: 6.000 ± 0.000
Epoch #92: episode_reward: 0.078 ± 4.638,                                episode_length: 6.000 ± 0.000
Epoch #93: episode_reward: 1.086 ± 4.316,                                episode_length: 6.000 ± 0.000
Epoch #94: episode_reward: 0.554 ± 4.926,                                episode_length: 6.000 ± 0.000
Epoch #95: episode_reward: 0.823 ± 4.508,                                episode_length: 6.000 ± 0.000
Epoch #96: episode_reward: 1.100 ± 4.115,                                episode_length: 6.000 ± 0.000
Epoch #97: episode_reward: 0.603 ± 4.793,                                episode_length: 6.000 ± 0.000
Epoch #98: episode_reward: 0.694 ± 4.717,                                episode_length: 6.000 ± 0.000
Epoch #99: episode_reward: 1.427 ± 3.854,                                episode_length: 6.000 ± 0.000
Epoch #100: episode_reward: 1.135 ± 4.529,                                episode_length: 6.000 ± 0.000
total time: 7157.064s
