Epoch #72: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #73: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #74: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #75: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #76: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #77: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #78: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #79: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #80: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #81: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #82: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #83: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #84: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #85: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #86: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #87: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #88: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #89: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #90: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #91: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #92: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #93: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #94: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #95: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #96: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #97: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #98: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
Epoch #99: episode_reward: 8514.000 ± 0.000,                            episode_length: 500.000 ± 0.000,                            episode_accuracy: 0.002 ± 0.000,                            episode_1_off_accuracy: 0.447 ± 0.000
